10.968,9.36,10.8,13.374,14.4,14.946,11.52,15.132,15.132,14.052,10.56,15.132,13.332,14.946,15.132,12.96,9,15.084,14.4,12.96,9.12,15.132,15.132,15.132,12.732,13.338,15.132,15.132,15.132,13.692,13.932,11.52,10.32,9.36,15.132,10.08,9.36,10.56,8.64,10.08,15.132,11.612,11.52,14.4,10.08,15.132,15.132,15.132,13.32,9.792,9.12,11.52,15.132,13.68,14.21,15.132,15.132,9.84,15.132,6.48,15.132,13.932,9.36,10.56,15.132,12,8.64,15.132,13.048,15.132,15.132,10.08,10.44,10.44,15.132,10.32,15.084,10.92,15.132,9.36,8.16,12.252,14.718,10.44,10.08,9.36,10.68,8.304,15.132,11.28,15.132,11.88,10.8,12.972,8.448,10.44,9.12,13.572,14.718,11.292
10.968,9.36,10.8,14.772,14.4,15.12,11.52,16.572,16.572,15.492,10.56,16.386,14.772,15.271,15.848,12.96,9,15.48,14.492,12.96,9.12,16.572,16.572,16.572,14.172,14.724,16.386,16.572,16.572,15.132,15.372,11.52,10.32,9.36,16.572,10.08,9.36,10.56,8.64,10.08,16.572,12.756,11.52,14.4,10.08,16.572,16.572,16.572,13.32,9.792,9.12,11.52,16.572,13.68,15.636,16.572,16.572,9.84,16.572,6.48,16.572,15.372,9.36,10.582,16.572,12,8.64,16.572,14.412,16.572,16.524,10.08,10.44,10.44,16.572,10.32,15.48,10.92,16.386,9.36,8.16,13.692,15.29,10.44,10.08,9.36,10.68,8.304,16.572,11.328,16.572,11.88,10.8,14.412,8.448,10.44,9.12,14.28,14.76,12.732
11.001,9.36,10.8,16.212,14.4,15.12,11.52,17.826,18.012,16.932,10.56,16.56,16.212,16.5,16.716,12.96,9,15.48,15.636,12.96,9.12,18.012,18.012,18.012,15.612,16.164,16.888,18.012,17.826,16.572,16.812,11.572,10.32,9.36,18.012,10.08,9.36,10.56,8.64,10.08,18.012,14.01,11.52,14.4,10.08,17.28,18.012,18.012,13.32,9.792,9.12,11.52,18.012,13.68,17.076,17.598,18.012,9.84,17.28,6.48,18.012,16.812,9.36,10.585,18.012,12,8.64,18.012,15.852,18.012,16.92,10.08,10.44,10.44,18.012,10.43,15.48,10.92,16.56,9.36,8.16,15.132,16.716,10.44,10.08,9.36,10.68,8.304,17.826,12.372,18.012,11.88,10.986,15.852,8.448,10.44,9.12,14.28,14.76,14.172
11.191,9.36,10.8,17.652,14.4,15.12,11.52,18,19.452,18.372,10.56,17.292,17.652,17.94,18.156,12.96,9,15.48,17.076,12.96,9.12,18.72,19.452,19.452,17.052,17.604,18.252,19.452,18,18.012,18.252,11.576,10.32,9.36,19.452,10.08,9.36,10.56,8.64,10.08,19.452,14.184,11.52,14.4,10.08,17.28,19.452,19.452,14.052,9.792,9.12,11.52,19.452,13.68,18.516,17.64,19.452,9.84,17.28,6.48,19.452,18.252,9.36,10.585,18.72,12,8.64,19.452,17.292,19.452,16.92,10.08,10.44,10.44,18.836,11.604,15.48,10.92,16.56,9.546,8.16,16.572,18.156,10.44,10.08,9.36,10.68,8.304,18,13.812,19.452,11.928,12.252,17.292,8.448,10.44,9.12,14.28,14.76,15.612
11.191,9.36,10.8,19.092,14.53,15.12,11.52,18.048,20.892,19.812,10.56,18.732,18.764,19.232,19.596,12.96,9,15.48,18.516,12.96,9.12,18.72,20.892,20.892,18.492,19.044,19.692,20.892,18.048,19.452,19.692,11.576,10.32,9.36,20.892,10.08,9.36,10.56,8.64,10.08,20.892,14.184,11.52,14.4,10.08,17.28,20.892,20.478,15.492,9.792,9.12,11.52,20.892,13.68,19.956,17.64,20.892,9.84,17.28,6.48,20.892,19.692,9.36,10.585,19.134,12,8.64,20.892,18.732,20.892,17.652,10.08,10.44,10.44,18.84,12.952,15.48,10.92,16.56,10.08,8.16,18.012,19.596,10.44,10.08,9.36,10.68,8.304,18,15.066,20.892,12.324,13.389,18.732,8.448,10.44,9.12,14.28,14.76,17.052
11.191,9.36,10.8,20.532,15.732,15.12,11.52,19.092,22.332,21.252,10.56,20.172,19.026,20.34,21.036,12.96,9.048,15.48,19.956,13.576,9.142,18.72,21.716,22.332,19.932,20.484,21.132,22.332,19.092,20.892,20.4,11.576,10.32,9.36,22.332,10.08,9.36,10.56,8.64,10.136,22.332,14.184,11.52,15.132,10.08,17.466,21.918,20.52,16.932,9.792,9.12,11.52,22.202,13.68,21.396,17.64,22.332,9.84,17.28,6.48,22.004,21.132,9.408,10.585,20.532,12,8.64,22.332,20.172,22.332,19.092,10.08,10.44,10.44,18.97,13.25,15.48,11.602,16.56,10.08,8.346,19.452,21.036,10.44,10.08,9.36,10.68,8.304,18,15.24,22.332,12.326,13.479,20.172,8.448,10.44,9.12,14.28,14.782,18.492
11.191,9.688,10.8,21.972,17.172,15.12,11.52,20.532,23.772,22.692,10.56,21.612,20.292,21.594,22.476,12.96,9.5616,15.48,21.396,14.884,9.712,18.72,22.23,23.724,21.372,21.738,22.572,23.772,20.532,22.332,20.814,11.576,10.32,9.36,23.586,10.08,9.36,10.56,8.64,10.2,23.772,14.184,11.52,16.572,10.08,18.732,22.47,20.568,18.372,9.792,9.372,11.52,22.494,13.68,22.836,17.64,23.772,9.888,17.28,6.48,22.128,22.572,9.9988,10.585,21.972,12,8.64,23.772,21.612,23.772,20.532,10.08,10.44,10.44,20.172,13.502,15.48,11.991,16.866,10.08,9.612,20.892,22.476,10.44,10.08,9.612,10.68,8.304,18.732,15.24,23.772,12.326,13.479,21.612,8.4624,10.488,9.63,14.302,15.732,19.932
11.191,11.052,10.986,23.412,18.612,15.168,11.706,21.972,25.212,24.132,10.644,23.052,21.732,21.898,23.916,12.96,9.576,15.48,22.836,15.125,10.932,18.726,23.652,24.448,22.812,21.912,24.012,24.48,21.972,23.772,22.212,11.638,10.83,9.36,23.946,10.08,9.612,10.56,8.77,10.276,25.19,14.184,12.213,18.012,10.376,20.172,23.892,21.612,19.398,10.03,10.692,11.706,23.556,13.68,24.276,17.64,25.026,10.854,17.694,6.48,23.172,24.012,10.03,10.913,23.412,12.414,8.64,25.212,23.052,24.702,21.972,10.59,10.626,10.524,21.612,14.822,15.48,11.991,17.28,10.494,11.028,22.332,23.916,10.44,10.08,10.932,10.68,8.304,19.768,15.24,24.798,12.326,13.479,23.052,9.372,11.532,11.052,15.137,17.172,21.372
11.191,12.492,12.252,24.852,20.052,16.212,12.972,23.412,26.036,25.572,11.541,24.492,23.172,23.1,25.356,12.96,9.5784,15.61,23.948,15.125,12.237,19.572,25.092,25.812,24.252,21.912,25.452,24.48,23.412,25.212,23.652,11.65,12.252,9.36,25.212,10.494,10.747,10.56,9.972,10.32,25.68,14.599,12.636,19.452,11.718,21.612,25.332,23.052,19.44,11.34,12.132,12.972,24.996,13.866,25.716,17.64,25.908,11.179,19.092,6.48,24.612,25.452,10.03,11.877,24.852,13.812,8.64,26.476,24.492,24.72,23.412,11.598,11.892,11.652,23.052,16.134,15.48,11.991,17.79,11.196,11.508,23.7,25.356,11.172,10.21,12.321,10.764,8.6,21.132,15.24,24.84,12.326,13.479,24.492,10.812,12.972,12.436,15.396,18.612,22.812
11.399,13.932,13.692,26.292,21.492,17.652,13.751,24.852,26.04,27.012,11.676,25.932,24.612,24.54,26.796,12.96,10.38,16.812,24.024,15.125,12.468,21.012,26.532,27.252,25.692,22.326,26.892,25.188,24.852,25.92,25.092,11.65,13.692,9.9112,26.652,11.892,10.922,10.56,11.412,10.506,25.68,15.077,12.636,20.892,12.312,23.052,26.772,24.492,20.172,12.662,13.572,14.412,26.436,15.132,27.156,17.64,27.348,11.179,20.532,6.48,26.052,26.892,10.03,11.924,26.292,15.252,9.372,27.828,25.932,24.72,24.852,11.64,13.332,13.092,24.492,16.375,15.48,11.991,19.212,11.196,11.508,24.038,26.796,12.461,11.412,12.708,11.892,9.1969,22.572,15.24,24.84,12.374,13.479,25.932,12.252,14.412,12.81,15.396,20.052,24.252
